Albany, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
192510,43.0,-7.5
192511,37.7,-1.8
192512,27.8,0.6
192601,23.5,1.3
192602,19.2,-5.1
192603,27.0,-7.1
192604,39.8,-6.7
192605,54.8,-3.3
192606,61.4,-5.6
192607,70.4,-1.4
192608,68.7,-0.9
192609,59.3,-2.3
192610,47.3,-3.2
192611,39.1,-0.4
192612,19.1,-8.1
192701,20.5,-1.7
192702,28.0,3.7
192703,36.2,2.1
192704,44.5,-2.0
192705,54.0,-4.1
192706,62.1,-4.9
192707,70.1,-1.7
192708,64.7,-4.9
192709,61.1,-0.5
192710,53.3,2.8
192711,41.8,2.3
192712,28.3,1.1
192801,26.4,4.2
192802,24.3,0.0
192803,31.3,-2.8
192804,42.5,-4.0
192805,55.6,-2.5
192806,63.4,-3.6
192807,71.8,0.0
192808,70.6,1.0
192809,58.7,-2.9
192810,51.8,1.3
192811,40.3,0.8
192812,31.9,4.7
192901,22.4,0.2
192902,22.6,-1.7
192903,36.5,2.4
192904,45.2,-1.3
192905,56.0,-2.1
192906,66.2,-0.8
192907,69.6,-2.2
192908,66.3,-3.3
192909,63.0,1.4
192910,48.0,-2.5
192911,38.8,-0.7
192912,25.9,-1.3
193001,23.8,1.6
193002,26.5,2.2
193003,33.6,-0.5
193004,43.1,-3.4
193005,58.2,0.1
193006,69.9,2.9
193007,70.4,-1.4
193008,68.6,-1.0
193009,64.6,3.0
193010,49.2,-1.3
193011,40.1,0.6
193012,27.9,0.7
193101,21.7,-0.5
193102,23.5,-0.8
193103,35.3,1.2
193104,46.8,0.3
193105,58.1,0.0
193106,66.3,-0.7
193107,73.7,1.9
193108,68.7,-0.9
193109,64.7,3.1
193110,52.6,2.1
193111,44.8,5.3
193112,30.8,3.6
193201,33.6,11.4
193202,26.7,2.4
193203,29.3,-4.8
193204,42.7,-3.8
193205,58.2,0.1
193206,65.1,-1.9
193207,68.5,-3.3
193208,69.6,0.0
193209,61.7,0.1
193210,52.6,2.1
193211,35.5,-4.0
193212,29.5,2.3
193301,32.2,10.0
193302,26.7,2.4
